2500	4	2	0.265825	0.000102633	0.000158013	0.079508	0.00176832
10000	4	2	0.342122	0.000299517	0.000527349	1.27695	0.0206082
22500	4	2	0.358102	0.000606145	0.00175307	6.45984	0.107287
40000	4	2	0.637117	0.00107023	0.0031449	20.416	0.344813
62500	4	2	0.430885	0.00169415	0.00525114	50.2119	0.874623
90000	4	2	0.836884	0.00239726	0.00785162	104.191	1.85131
122500	4	2	0.557909	0.00327224	0.0104535	192.981	3.28834
160000	4	2	2.72736	0.00428167	0.0137306	330.151	5.73909
202500	4	2	0.641422	0.00547542	0.0172262	532.386	9.27616
2500	8	2	0.318404	7.0399e-05	0.000572853	0.0397365	0.00063181
10000	8	2	0.337391	0.000157391	0.00131339	0.629592	0.000829205
22500	8	2	0.348203	0.000355499	0.00537341	3.23684	0.0530314
40000	8	2	0.645315	0.000586405	0.0186537	10.2361	0.171045
62500	8	2	0.401608	0.000891526	0.0438449	24.9883	0.424278
90000	8	2	0.699724	0.0012241	0.156763	51.9116	0.959804
122500	8	2	0.422561	0.00170663	0.17788	96.6556	1.62877
160000	8	2	1.74378	0.00213289	0.303992	164.879	2.79235
2500	16	2	0.328943	1.9787e-05	0.000312819	0.0198896	0.000728973
10000	16	2	0.345977	0.000127028	0.0034859	0.31217	0.000945253
22500	16	2	0.385557	0.00021161	0.038667	1.61738	0.0214337
40000	16	2	0.754616	0.000338571	0.0610284	5.08467	0.0377168
62500	16	2	0.38422	0.000513086	0.0515656	12.4403	0.118191
90000	16	2	0.668473	0.000746822	0.105239	25.8045	0.257238
122500	16	2	0.368753	0.000974335	0.191955	47.7959	0.475606
160000	16	2	1.9119	0.00125135	0.330747	81.5669	0.826004
202500	16	2	0.42029	0.00161697	0.559961	131.23	1.26779
2500	24	2	0.333386	1.9035e-05	0.000578254	0.0133183	0.000733185
10000	24	2	0.363575	8.7789e-05	0.00639882	0.211109	0.00212207
22500	24	2	0.308968	0.000166966	0.0209638	1.06501	0.00840533
40000	24	2	0.584191	0.000251839	0.0316902	3.37233	0.0214256
62500	24	2	0.336141	0.000378171	0.101123	8.27658	0.0477834
90000	24	2	0.5828	0.000507131	0.134104	17.1804	0.1194
122500	24	2	0.339515	0.000667401	0.238591	31.8266	0.214705
160000	24	2	2.13096	0.000887131	0.412098	54.2927	0.368003
202500	24	2	0.429801	0.00108878	0.678851	86.969	0.607104
202500	8	2	0.578456	0.00277397	0.429307	264.134	4.36459
